PC_DESC,UNIT OF QTY,COUNTRY,QTY,VAL (MILL US $)
OTHER COMMODITIES,,UNSPECIFIED,,6925.755648
OTHER COMMODITIES,,KENYA,,4.977579
OTHER COMMODITIES,,TANZANIA REP,,3.859614
OTHER COMMODITIES,,UGANDA,,0.006412
OTHER COMMODITIES,,BENIN,,1.030157
OTHER COMMODITIES,,CAMEROON,,3.337303
OTHER COMMODITIES,,C AFRI REP,,2e-06
OTHER COMMODITIES,,CHAD,,2.059361
OTHER COMMODITIES,,CONGO P REP,,2.3042990000000003
OTHER COMMODITIES,,GABON,,0.27285
OTHER COMMODITIES,,COTE D' IVOIRE,,1.904218
OTHER COMMODITIES,,MADAGASCAR,,9.407807
OTHER COMMODITIES,,MAURITANIA,,1.7126270000000001
OTHER COMMODITIES,,MAURITIUS,,0.191706
OTHER COMMODITIES,,NIGER,,2.4e-05
OTHER COMMODITIES,,SENEGAL,,1.256405
OTHER COMMODITIES,,TOGO,,0.6367649999999999
OTHER COMMODITIES,,CONGO D. REP.,,6.366233
OTHER COMMODITIES,,ANGOLA,,3.8919629999999996
OTHER COMMODITIES,,BOTSWANA,,8e-06
OTHER COMMODITIES,,BURUNDI,,0.027466
OTHER COMMODITIES,,CAPE VERDE IS,,0.197719
OTHER COMMODITIES,,COMOROS,,0.026837
OTHER COMMODITIES,,DJIBOUTI,,0.128169
OTHER COMMODITIES,,ETHIOPIA,,0.788205
OTHER COMMODITIES,,ERITREA,,0.064225
OTHER COMMODITIES,,EQUTL GUINEA,,0.066511
OTHER COMMODITIES,,GAMBIA,,1.079585
OTHER COMMODITIES,,GHANA,,2.148768
OTHER COMMODITIES,,GUINEA,,0.751904
OTHER COMMODITIES,,GUINEA BISSAU,,0.102432
OTHER COMMODITIES,,LESOTHO,,0.05854500000000001
OTHER COMMODITIES,,LIBERIA,,1.207047
OTHER COMMODITIES,,MALAWI,,0.000602
OTHER COMMODITIES,,MALI,,0.158826
OTHER COMMODITIES,,MOZAMBIQUE,,0.151082
OTHER COMMODITIES,,NAMIBIA,,0.47974300000000003
OTHER COMMODITIES,,NIGERIA,,5.529205999999999
OTHER COMMODITIES,,REUNION,,0.138259
OTHER COMMODITIES,,SEYCHELLES,,0.025833
OTHER COMMODITIES,,SIERRA LEONE,,0.783904
OTHER COMMODITIES,,SOMALIA,,0.010957
OTHER COMMODITIES,,SWAZILAND,,1.600694
OTHER COMMODITIES,,ZAMBIA,,0.006468000000000001
OTHER COMMODITIES,,EGYPT A RP,,5.4260779999999995
OTHER COMMODITIES,,LIBYA,,3.192425
OTHER COMMODITIES,,MOROCCO,,1.5682909999999999
OTHER COMMODITIES,,SOUTH AFRICA,,26.037674
OTHER COMMODITIES,,SUDAN,,17.368376
OTHER COMMODITIES,,TUNISIA,,1.069469
OTHER COMMODITIES,,ZIMBABWE,,1.9758580000000001
OTHER COMMODITIES,,CANADA,,21.630392999999998
OTHER COMMODITIES,,GREENLAND,,0.0015019999999999999
OTHER COMMODITIES,,U S A,,494.24548
OTHER COMMODITIES,,US MINOR OUTLYING ISLANDS,,0.002373
OTHER COMMODITIES,,ARGENTINA,,7.151347
OTHER COMMODITIES,,BRAZIL,,47.316195
OTHER COMMODITIES,,CHILE,,0.527606
OTHER COMMODITIES,,COLOMBIA,,0.005386999999999999
OTHER COMMODITIES,,ECUADOR,,0.20875300000000002
OTHER COMMODITIES,,PARAGUAY,,0.303191
OTHER COMMODITIES,,PERU,,1.7206569999999999
OTHER COMMODITIES,,URUGUAY,,0.6630520000000001
OTHER COMMODITIES,,VENEZUELA,,0.043146
OTHER COMMODITIES,,ANGUILLA,,9e-05
OTHER COMMODITIES,,BELIZE,,0.012053
OTHER COMMODITIES,,JAMAICA,,0.30283899999999997
OTHER COMMODITIES,,ST KITT N A,,0.00035099999999999997
OTHER COMMODITIES,,ST LUCIA,,0.002427
OTHER COMMODITIES,,TRINIDAD,,0.183455
OTHER COMMODITIES,,COSTA RICA,,0.0006259999999999999
OTHER COMMODITIES,,EL SALVADOR,,0.15992699999999999
OTHER COMMODITIES,,GUATEMALA,,0.15767
OTHER COMMODITIES,,HONDURAS,,0.071224
OTHER COMMODITIES,,NICARAGUA,,0.9308649999999999
OTHER COMMODITIES,,AMERI SAMOA,,2e-05
OTHER COMMODITIES,,DOMINIC REP,,0.06339700000000001
OTHER COMMODITIES,,HAITI,,0.051471
OTHER COMMODITIES,,MEXICO,,3.4866059999999996
OTHER COMMODITIES,,NETHERLANDANTIL,,0.335845
OTHER COMMODITIES,,PANAMA REPUBLIC,,0.005377000000000001
OTHER COMMODITIES,,PUERTO RICO,,0.321452
OTHER COMMODITIES,,SURINAME,,149.803382
OTHER COMMODITIES,,VIRGIN IS US,,0.016255000000000002
OTHER COMMODITIES,,AFGHANISTAN,,4.151495
OTHER COMMODITIES,,ANTARTICA,,1.1e-05
OTHER COMMODITIES,,AUSTRALIA,,7.669063
OTHER COMMODITIES,,BANGLADESH PR,,9.490126
OTHER COMMODITIES,,BHUTAN,,0.43352399999999996
OTHER COMMODITIES,,BRUNEI,,4.1e-05
OTHER COMMODITIES,,CAMBODIA,,0.034363
OTHER COMMODITIES,,CHINA P RP,,760.168808
OTHER COMMODITIES,,FIJI IS,,0.000837
OTHER COMMODITIES,,HONG KONG,,82.5975
OTHER COMMODITIES,,INDONESIA,,57.645662
OTHER COMMODITIES,,IRAN,,16.025546
OTHER COMMODITIES,,JAPAN,,58.0533
OTHER COMMODITIES,,KOREA RP,,104.473869
OTHER COMMODITIES,,LAO PD RP,,0.037618
OTHER COMMODITIES,,MALAYSIA,,32.117518
OTHER COMMODITIES,,MYANMAR,,11.337588
OTHER COMMODITIES,,MONGOLIA,,0.000837
OTHER COMMODITIES,,NEPAL,,23.57982
OTHER COMMODITIES,,NEW ZEALAND,,5.318833000000001
OTHER COMMODITIES,,PAKISTAN IR,,6.28223
OTHER COMMODITIES,,PAPUA N GNA,,0.00249
OTHER COMMODITIES,,PHILIPPINES,,9.462363999999999
OTHER COMMODITIES,,SINGAPORE,,120.63885400000001
OTHER COMMODITIES,,SRI LANKA DSR,,48.5726
OTHER COMMODITIES,,THAILAND,,102.62462099999999
OTHER COMMODITIES,,VIETNAM SOC REP,,46.566642
OTHER COMMODITIES,,SAMOA,,1.4999999999999999e-05
OTHER COMMODITIES,,BAHARAIN IS,,2.918328
OTHER COMMODITIES,,IRAQ,,0.000776
OTHER COMMODITIES,,JORDAN,,0.132233
OTHER COMMODITIES,,KUWAIT,,7.025268
OTHER COMMODITIES,,LEBANON,,0.011651
OTHER COMMODITIES,,OMAN,,12.853183999999999
OTHER COMMODITIES,,QATAR,,1.176284
OTHER COMMODITIES,,SAUDI ARAB,,8.604149000000001
OTHER COMMODITIES,,U ARAB EMTS,,78.132695
OTHER COMMODITIES,,YEMEN REPUBLC,,0.6226689999999999
OTHER COMMODITIES,,TAIWAN,,27.937771
OTHER COMMODITIES,,FR GUIANA,,0.8394739999999999
OTHER COMMODITIES,,ISRAEL,,72.68005
OTHER COMMODITIES,,KOREA DP RP,,1.846972
OTHER COMMODITIES,,MACAO,,0.000828
OTHER COMMODITIES,,MALDIVES,,0.008426000000000001
OTHER COMMODITIES,,TOKELAU IS,,0.001761
OTHER COMMODITIES,,AUSTRIA,,6.265781
OTHER COMMODITIES,,BELGIUM,,37.253103
OTHER COMMODITIES,,DENMARK,,19.139366
OTHER COMMODITIES,,FINLAND,,282.112181
OTHER COMMODITIES,,FRANCE,,91.627613
OTHER COMMODITIES,,GERMANY,,194.08786
OTHER COMMODITIES,,GREECE,,1.555878
OTHER COMMODITIES,,IRELAND,,15.842835999999998
OTHER COMMODITIES,,ITALY,,54.221371
OTHER COMMODITIES,,LUXEMBOURG,,0.255017
OTHER COMMODITIES,,MONACO,,0.001834
OTHER COMMODITIES,,NETHERLAND,,54.790036
OTHER COMMODITIES,,PORTUGAL,,12.571288000000001
OTHER COMMODITIES,,SAN MARINO,,0.000865
OTHER COMMODITIES,,SPAIN,,30.737383
OTHER COMMODITIES,,SWEDEN,,37.594852
OTHER COMMODITIES,,U K,,60.966111
OTHER COMMODITIES,,ICELAND,,0.035357
OTHER COMMODITIES,,NORWAY,,5.2451669999999995
OTHER COMMODITIES,,SWITZERLAND,,18.484984
OTHER COMMODITIES,,ALBANIA,,6.3e-05
